,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,price_log,distrito_barajas,distrito_carabanchel,distrito_centro,distrito_chamartín,distrito_chamberí,distrito_ciudad_lineal,distrito_fuencarral___el_pardo,distrito_hortaleza,distrito_latina,distrito_moncloa___aravaca,distrito_moratalaz,distrito_puente_de_vallecas,distrito_retiro,distrito_salamanca,distrito_san_blas___canillejas,distrito_tetuán,distrito_usera,distrito_vicálvaro,distrito_villa_de_vallecas,distrito_villaverde,rt_hotel_room,rt_private_room,rt_shared_room,air_conditioning,kitchen_and_else,tv,wifi,white_goods,elevator,long_term_stays,Sentiment_Score_Afinn,commo
13136,1123040179363881354,1,98,100,0.0,28.0,2,1,1,0,61.0,1,365,18,111,111,4.61,4.76,4.8,4.81,4.68,4.57,4.61,1,10.34,4.110873864173311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,6.155963302752293,1
13137,1123060050049211037,1,100,100,0.0,13.0,2,1,1,1,95.0,4,365,57,27,27,4.78,4.93,4.89,4.89,4.89,4.96,4.74,1,2.52,4.553876891600541,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,7.230769230769231,0
13138,1123073044110913729,1,98,100,0.0,28.0,2,1,1,1,69.0,1,365,24,88,88,4.58,4.77,4.74,4.91,4.58,4.57,4.58,1,8.15,4.23410650459726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,6.080459770114943,1
13139,1123077053710577895,1,98,100,0.0,28.0,2,1,1,1,64.0,1,365,0,104,104,4.64,4.66,4.76,4.88,4.63,4.61,4.77,1,9.54,4.1588830833596715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,4.97029702970297,1
13140,1119721693254890663,1,100,98,0.0,4.0,5,1,0,4,164.0,1,365,39,1,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,0.19,5.099866427824199,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,4.0,1
13141,1119747442648002586,1,100,98,0.0,5.0,2,1,1,1,91.0,1,365,251,25,25,4.4,4.4,4.52,4.52,4.52,5.0,4.28,0,2.28,4.51085950651685,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5.958333333333333,1
13142,1120073017637398027,2,99,98,0.0,853.0,6,3,3,4,241.0,31,92,293,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.484796933490655,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.0,1
13143,1120092387297246346,1,100,99,0.0,100.0,8,2,4,6,337.0,1,1125,21,21,21,4.81,4.9,4.86,4.9,4.86,4.86,4.62,1,1.88,5.820082930352362,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,7.095238095238095,1
13144,1120093500114698390,1,100,100,0.0,1.0,6,2,3,3,180.0,1,1125,1,16,16,4.13,4.31,4.38,4.5,4.31,3.94,4.13,1,1.43,5.19295685089021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,4.125,1
13145,1120096549270079310,1,100,100,0.0,4.0,4,1,3,3,212.0,3,365,239,27,27,4.67,4.59,4.89,4.59,4.85,4.96,4.63,1,2.38,5.356586274672012,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,6.148148148148148,0
13146,1120123129968790952,1,99,58,0.0,27.0,2,1,1,1,38.0,1,365,0,16,16,4.88,4.88,4.63,4.94,4.94,4.88,4.69,0,1.56,3.6375861597263857,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,5.0,0
13147,1123080554584728079,2,90,82,0.0,3.0,2,1,0,1,26.0,1,365,350,15,15,4.93,4.93,5.0,5.0,5.0,4.8,4.93,0,1.35,3.258096538021482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,7.8,1
13148,1123095163968452902,1,100,100,0.0,112.0,2,1,1,1,100.0,1,365,350,6,6,4.83,4.83,4.67,4.83,4.83,4.67,4.67,1,0.77,4.605170185988092,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,6.0,1
13149,1123101037619963484,1,100,100,0.0,112.0,4,1,2,2,91.0,1,365,5,26,26,4.96,5.0,4.92,4.88,4.96,4.04,4.92,1,2.51,4.51085950651685,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,7.0,1
13150,1123137577632479481,0,0,90,0.0,3.0,1,1,1,1,35.0,2,365,275,17,17,4.82,4.76,4.65,4.65,4.76,4.53,4.71,1,1.69,3.5553480614894135,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,5.117647058823529,1
13151,1123228278693307532,4,0,0,0.0,3.0,2,1,1,1,78.0,1,3,69,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.356708826689592,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0,0
13152,1120131876740468160,2,99,98,0.0,853.0,3,1,1,2,97.0,31,328,243,1,1,5.0,5.0,5.0,4.0,5.0,5.0,5.0,0,0.15,4.574710978503383,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,4.0,1
13153,1120148270795046920,1,100,100,0.0,7.0,3,1,0,1,63.0,1,365,81,23,23,4.83,4.74,5.0,4.91,4.83,4.3,4.61,1,2.03,4.143134726391533,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,5.043478260869565,1
13154,1120186268614773772,2,100,92,1.0,2.0,4,1,1,2,85.0,2,365,112,23,23,4.91,4.78,5.0,4.91,4.83,4.83,4.74,0,2.03,4.442651256490317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,11.08695652173913,1
13155,1120231607216039467,2,99,98,0.0,853.0,4,2,2,2,125.0,31,330,181,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.8283137373023015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0.0,1
13156,1120251898856555139,1,100,100,0.0,8.0,4,2,2,0,130.0,4,365,0,59,59,4.71,4.66,4.76,4.85,4.88,4.92,4.63,1,5.15,4.867534450455582,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,7.508474576271187,1
13157,1120318970959892044,1,99,100,0.0,48.0,6,1,3,3,287.0,5,365,60,20,20,4.4,4.5,4.35,4.5,4.65,4.9,4.5,1,1.74,5.659482215759621,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,7.0,1
13158,1120342056621555563,1,99,100,0.0,118.0,6,1,2,3,184.0,1,1125,273,1,1,3.0,4.0,5.0,5.0,4.0,3.0,3.0,1,0.09,5.214935757608986,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,5.0,1
13159,1120397969747429370,1,100,100,1.0,1.0,2,1,1,2,111.0,2,365,88,50,50,4.92,4.88,4.82,4.9,4.98,4.98,4.86,0,4.49,4.709530201312334,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,8.89795918367347,1
